Handle,Title,Body (HTML),Option1 Name,Option1 Value
ampolleta-alfaparfx10ml-energizing,AMPOLLETA ALFAPARFx10ml ENERGIZING,"<p><strong>Ampolleta Alfaparf 10 ml Energizing</strong></p><p>Esta ampolleta capilar de Alfaparf de la línea Energizing en presentación de 10 ml concentra en una sola dosis el activo que tu cabello necesita en este momento.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Dosis única y concentrada: la potencia de un tratamiento de salón en casa.</li><li>Resultado visible desde la primera aplicación en cabello muy castigado.</li><li>Formato individual, sin desperdicio ni producto que se oxide en el frasco.</li><li>Se puede sumar puntualmente a la rutina sin cambiar el resto de productos.</li><li>Tamaño de 10 ml: entra en cualquier neceser y viaja sin problema.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Lavá el cabello y escurrí el exceso de agua.</li><li>Aplicá el contenido de la ampolleta de medios a puntas o en el cuero cabelludo, según indique el envase.</li><li>Masajeá y dejá actuar el tiempo indicado.</li><li>Enjuagá o dejá sin enjuagar según el tipo de ampolleta.</li></ol><p><strong>Ideal para:</strong> cabello muy dañado o como refuerzo semanal de la rutina.</p><p><strong>Tip Krika:</strong> Una ampolleta por semana durante un mes rinde más que aplicarlas todas seguidas.</p>",Title,Default Title
tinte-alfaparfx60ml-evolution-1,TINTE ALFAPARFx60ml EVOLUTION 1 NEGRO,"<p><strong>Tinte Alfaparf 60 ml Evolution 1 Negro</strong></p><p>Este tinte permanente de Alfaparf de la línea Evolution 1 Negro en presentación de 60 ml cubre el color anterior y las canas de raíz a puntas con un resultado uniforme y duradero.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Cobertura total de canas cuando se respeta la proporción y el tiempo de exposición.</li><li>Color parejo de la raíz a las puntas, sin ese efecto de dos tonos.</li><li>Resultado duradero: se mantiene hasta el crecimiento de la raíz.</li><li>Permite subir o bajar de tono dentro del rango del producto.</li><li>Tamaño de 60 ml: entra en cualquier neceser y viaja sin problema.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Hacé la prueba de sensibilidad 48 horas antes, en el pliegue del codo. No te la saltes.</li><li>Mezclá el tinte con el oxidante en la proporción que indica el envase, en un bol no metálico.</li><li>Aplicá con pincel sobre cabello seco y sin lavar, empezando por la raíz y dividiendo en cuatro secciones.</li><li>Dejá actuar el tiempo indicado, enjuagá hasta que el agua salga clara y terminá con acondicionador o el post-color del kit.</li></ol><p><strong>Ideal para:</strong> cobertura de canas y cambios de color duraderos.</p><p><strong>Tip Krika:</strong> El cabello sin lavar tiñe mejor: la grasa natural protege el cuero cabelludo del oxidante.</p>",Title,Default Title
oxigenta-alfaparfx1000ml-vol-10,OXIGENTA ALFAPARFx1000ml VOL 10,"<p><strong>Oxigenta Alfaparf 1000 ml Vol 10</strong></p><p>Este decolorante de Alfaparf de la línea Vol 10 en presentación de 1000 ml aclara la base del cabello para preparar el tono que querés conseguir después.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Aclara de forma controlada cuando se respeta el volumen de oxidante y el tiempo.</li><li>Base imprescindible para colores de fantasía y rubios fríos.</li><li>Mezcla homogénea, fácil de aplicar con pincel.</li><li>Permite trabajar por niveles según cuánto necesites subir.</li><li>Formato de 1000 ml: rinde muchísimo y baja el costo por uso, perfecto para salón o para quien ya sabe que lo va a repetir.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Prueba de mecha obligatoria: te dice cuánto aclara y en cuánto tiempo en TU cabello.</li><li>Mezclá con el oxidante en la proporción indicada, en bol no metálico.</li><li>Aplicá con pincel empezando por medios y puntas; la raíz va al final porque el calor del cuero cabelludo acelera el proceso.</li><li>Controlá visualmente cada 5 minutos y enjuagá apenas llegues al nivel buscado. Nunca superes el tiempo máximo del envase.</li></ol><p><strong>Ideal para:</strong> aclarados, mechas y preparación de base para color.</p><p><strong>Tip Krika:</strong> Después de decolorar, un tratamiento reconstructor no es opcional: es lo que evita que el pelo se quiebre.</p>",Title,Default Title
shamp-alfaparfx250ml-lisse-design,SHAMPOO ALFAPARFx250ml LISSE DESIGN KERATIN THERAPY,"<p><strong>Shampoo Alfaparf 250 ml Lisse Design Keratin Therapy</strong></p><p>Este shampoo de Alfaparf de la línea Lisse Design Keratin Therapy en presentación de 250 ml limpia a fondo sin dejar el pelo áspero ni el cuero cabelludo tirante.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Arrastra grasa, residuo de producto y contaminación sin llevarse la hidratación que el pelo necesita.</li><li>Espuma abundante y fácil de enjuagar: no quedan restos que apaguen el brillo.</li><li>Deja el cabello manejable desde el lavado, así el peinado después cuesta menos.</li><li>Apto para uso frecuente dentro de una rutina completa de lavado y acondicionado.</li><li>Con queratina, la proteína que rellena la fibra capilar y devuelve resistencia al pelo castigado.</li><li>Trabaja a favor del liso y ayuda a domar el frizz.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Mojá el cabello con agua tibia, nunca muy caliente.</li><li>Aplicá una porción del tamaño de una moneda y masajeá el cuero cabelludo con las yemas, no con las uñas.</li><li>Dejá actuar 1 o 2 minutos y enjuagá hasta que el agua salga limpia.</li><li>Repetí solo si el cabello estaba muy cargado de producto.</li></ol><p><strong>Ideal para:</strong> rutina de lavado de cualquier tipo de cabello, ajustando la frecuencia a tu cuero cabelludo.</p><p><strong>Tip Krika:</strong> Terminá el último enjuague con agua fría: sella la cutícula y el brillo se nota al instante.</p>",Title,Default Title
acond-alfaparfx250ml-lisse-designe,ACONDICIONADOR ALFAPARFx250ml LISSE DESIGNE KERATIN THERAPY,"<p><strong>Acondicionador Alfaparf 250 ml Lisse Designe Keratin Therapy</strong></p><p>Este acondicionador de Alfaparf de la línea Lisse Designe Keratin Therapy en presentación de 250 ml cierra la cutícula después del shampoo y devuelve suavidad y brillo en minutos.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Desenreda de verdad: el peine pasa sin tirones y se rompe mucho menos pelo.</li><li>Sella la fibra tras el lavado, que es cuando el cabello está más vulnerable.</li><li>Aporta suavidad sin apelmazar ni engrasar las raíces.</li><li>Facilita el secado y el peinado posterior, incluso en melenas largas.</li><li>Con queratina, la proteína que rellena la fibra capilar y devuelve resistencia al pelo castigado.</li><li>Trabaja a favor del liso y ayuda a domar el frizz.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Después del shampoo, escurrí bien el exceso de agua.</li><li>Aplicá de medios a puntas, evitando la raíz.</li><li>Dejá actuar de 2 a 3 minutos.</li><li>Enjuagá con agua tibia o fría.</li></ol><p><strong>Ideal para:</strong> todo tipo de cabello, especialmente el largo, teñido o con tendencia al enredo.</p><p><strong>Tip Krika:</strong> Si tenés raíz grasa y puntas secas, usá acondicionador solo de las orejas hacia abajo.</p>",Title,Default Title
masc-cap-alfaparfx500ml-lisse-de,MASCARILLA CAPILAR ALFAPARFx500ml LISSE DE,"<p><strong>Mascarilla Capilar Alfaparf 500 ml Lisse De</strong></p><p>Este tratamiento capilar de Alfaparf de la línea Lisse De en presentación de 500 ml trabaja en profundidad sobre la fibra para devolverle cuerpo, suavidad y brillo.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Tratamiento intensivo: actúa donde el acondicionador diario no llega.</li><li>Recupera cabello castigado por plancha, secador, color o decoloración.</li><li>Mejora la textura de forma acumulativa: cada aplicación suma.</li><li>Deja la melena más pesada, brillante y fácil de manejar.</li><li>Trabaja a favor del liso y ayuda a domar el frizz.</li><li>Formato grande de 500 ml, pensado para uso frecuente sin quedarte a mitad de camino.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Lavá con shampoo y escurrí muy bien el exceso de agua.</li><li>Aplicá de medios a puntas y distribuí con un peine de dientes anchos.</li><li>Dejá actuar entre 5 y 20 minutos según lo dañado que esté el cabello.</li><li>Enjuagá abundantemente. Repetí una o dos veces por semana.</li></ol><p><strong>Ideal para:</strong> cabello seco, poroso, teñido o con daño por calor.</p><p><strong>Tip Krika:</strong> Envolvé la cabeza en una toalla tibia mientras actúa: el calor abre la cutícula y el tratamiento penetra mejor.</p>",Title,Default Title
tinte-alfaparfx90ml-revolution-clear,TINTE ALFAPARFx90ml REVOLUTION CLEAR,"<p><strong>Tinte Alfaparf 90 ml Revolution Clear</strong></p><p>Este tinte temporal de Alfaparf de la línea Revolution Clear en presentación de 90 ml aporta color sin compromiso: se va lavado a lavado y no genera raíz marcada.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Sin amoníaco ni oxidante en la mayoría de los casos: mucho más amable con la fibra.</li><li>Perfecto para probar un color antes de decidirte por algo permanente.</li><li>Se desvanece de forma progresiva, sin dejar una línea de crecimiento visible.</li><li>Ideal para fantasía, reflejos o refrescar el color entre tintes.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Aplicá sobre cabello limpio y seco o húmedo, según indique el envase.</li><li>Repartí de forma pareja con guantes o pincel.</li><li>Dejá actuar el tiempo indicado; a más tiempo, más intensidad.</li><li>Enjuagá con agua fría y sin shampoo para que dure más.</li></ol><p><strong>Ideal para:</strong> colores de fantasía, pruebas de tono y refrescar el color entre aplicaciones.</p><p><strong>Tip Krika:</strong> Sobre base clara el color rinde muchísimo más. Si tenés el pelo oscuro, el resultado será sutil.</p>",Title,Default Title
alizadora-alfaparfx500ml-liss-desing,ALIZADORA ALFAPARFx500ml LISS DESING KERATIN THERAPY,"<p><strong>Alizadora Alfaparf 500 ml Liss Desing Keratin Therapy</strong></p><p>Este producto alisador de Alfaparf de la línea Liss Desing Keratin Therapy en presentación de 500 ml ayuda a conseguir un liso más duradero y con mejor acabado.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Reduce el volumen y el frizz de forma notoria.</li><li>Facilita muchísimo el planchado posterior: menos pasadas, menos daño.</li><li>Deja el cabello más brillante y ordenado.</li><li>El efecto se mantiene varios lavados según el tipo de cabello.</li><li>Con queratina, la proteína que rellena la fibra capilar y devuelve resistencia al pelo castigado.</li><li>Trabaja a favor del liso y ayuda a domar el frizz.</li><li>Formato grande de 500 ml, pensado para uso frecuente sin quedarte a mitad de camino.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Leé con atención las instrucciones del fabricante antes de empezar.</li><li>Hacé siempre una prueba de mecha en una zona poco visible.</li><li>Aplicá por secciones sobre cabello limpio y seco, respetando el tiempo indicado.</li><li>Enjuagá y completá el proceso según indique el envase.</li></ol><p><strong>Ideal para:</strong> cabello con mucho volumen o frizz que busca un liso duradero.</p><p><strong>Tip Krika:</strong> Si nunca hiciste un alisado, hacelo con un profesional la primera vez y mantenelo en casa después.</p>",Title,Default Title
espuma-cap-alfaparfx250ml-firming,ESPUMA CAPILAR ALFAPARFx250ml STYLE STORIES FIRMING MOUSSE,"<p><strong>Espuma Capilar Alfaparf 250 ml Style Stories Firming Mousse</strong></p><p>Esta espuma de peinado de Alfaparf de la línea Style Stories Firming Mousse en presentación de 250 ml da cuerpo y fijación ligera sin el efecto cartón de los fijadores fuertes.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Volumen real desde la raíz, que es donde hace falta.</li><li>Fijación flexible: el peinado se mueve, no se queda tieso.</li><li>No deja residuo blanco ni sensación pegajosa.</li><li>Funciona igual de bien con secador que al aire.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Agitá el envase antes de usar.</li><li>Aplicá una porción del tamaño de un huevo sobre cabello húmedo.</li><li>Repartí desde la raíz hacia las puntas.</li><li>Secá con secador y cepillo, o dejá secar al aire.</li></ol><p><strong>Ideal para:</strong> cabello fino o sin volumen y peinados con movimiento.</p><p><strong>Tip Krika:</strong> Aplicala con la cabeza boca abajo: el volumen en la raíz sube otro nivel.</p>",Title,Default Title
cera-cap-alfaparfx100ml-funk-clay,CERA CAPILAR ALFAPARFx100ml SYTLE STORIES FUNK CLAY,"<p><strong>Cera Capilar Alfaparf 100 ml Sytle Stories Funk Clay</strong></p><p>Este producto de styling de Alfaparf de la línea Sytle Stories Funk Clay en presentación de 100 ml define, fija y da textura al peinado con el nivel de control que elijas.</p><p><strong>Por qué te va a gustar</strong></p><ul><li>Define la forma y la mantiene durante horas.</li><li>Se puede reactivar con los dedos para retocar sin volver a aplicar.</li><li>Da textura visible, ideal para cortes con capas o peinados desordenados a propósito.</li><li>Se retira fácil con el lavado habitual.</li><li>Con arcilla, que purifica y matifica sin resecar.</li></ul><p><strong>Modo de uso</strong></p><ol><li>Tomá una cantidad pequeña y calentala entre las palmas.</li><li>Aplicá sobre cabello seco o apenas húmedo, empezando por la nuca.</li><li>Modelá con los dedos hasta conseguir la forma.</li><li>Sumá producto de a poco si necesitás más fijación.</li></ol><p><strong>Ideal para:</strong> peinados definidos, cortes masculinos y texturizados.</p><p><strong>Tip Krika:</strong> Menos producto y bien repartido fija mejor que mucho producto en un solo punto.</p>",Title,Default Title
